epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
128,8398.15,0.88201,0.81963,0.81198,0.74041,0.65694,0.72949,0.55159,0.7811,0.68322,0.81646,0.0074854,0.0074854,0.0074854
129,8463.34,0.87632,0.81124,0.818,0.74032,0.65562,0.72993,0.5521,0.78072,0.68168,0.81607,0.0074656,0.0074656,0.0074656
130,8528.44,0.87729,0.80856,0.81962,0.72474,0.66558,0.7302,0.55201,0.77963,0.68183,0.81601,0.0074458,0.0074458,0.0074458
131,8593.47,0.87247,0.80222,0.81303,0.74336,0.65823,0.73091,0.55196,0.77917,0.67964,0.81576,0.007426,0.007426,0.007426
132,8658.38,0.88365,0.80836,0.81393,0.73248,0.66753,0.73145,0.55304,0.77915,0.67727,0.81627,0.0074062,0.0074062,0.0074062
133,8723.43,0.8727,0.8054,0.81643,0.73784,0.66339,0.73302,0.55437,0.77846,0.67457,0.81622,0.0073864,0.0073864,0.0073864
134,8788.47,0.86555,0.78715,0.81848,0.73693,0.66374,0.73304,0.55347,0.77777,0.67347,0.81617,0.0073666,0.0073666,0.0073666
135,8853.75,0.8781,0.80418,0.81779,0.73834,0.66522,0.73476,0.55505,0.77737,0.67194,0.81614,0.0073468,0.0073468,0.0073468
136,8918.91,0.86619,0.779,0.81871,0.74161,0.66711,0.73707,0.55654,0.77645,0.66992,0.81591,0.007327,0.007327,0.007327
137,8984.2,0.8638,0.79671,0.8151,0.74976,0.66221,0.73748,0.55746,0.77616,0.67085,0.81566,0.0073072,0.0073072,0.0073072
138,9049.51,0.87232,0.78734,0.81846,0.75556,0.65887,0.7376,0.55742,0.77526,0.67103,0.81541,0.0072874,0.0072874,0.0072874
139,9114.69,0.8632,0.79017,0.81777,0.75662,0.66076,0.73834,0.5585,0.7743,0.66981,0.8151,0.0072676,0.0072676,0.0072676
140,9180.06,0.87667,0.80486,0.81395,0.75314,0.66382,0.73976,0.55954,0.77469,0.67063,0.81501,0.0072478,0.0072478,0.0072478
